"piR-hsa-23317"	"ENST00000536684.2"	"ENST00000626826.1"	"ENST00000623130.1"	"ENST00000385273.1"	"ENST00000516053.2"	"ENST00000384010.1"	"ENST00000365699.4"	"ENST00000362154.1"	"ENST00000384981.3"	"ENST00000600213.3"	"ENST00000383861.1"	"ENST00000385012.1"	"ENST00000383858.1"	"ENST00000384898.1"	"ENST00000383869.1"	"ENST00000362162.1"	"ENST00000384278.1"	"ENST00000615842.1"	"ENST00000613023.1"
"Sample_1S1"	2.38097449738479	-0.029863399424631	-0.042649854609193	-0.0378049863373474	0.825734902192654	-0.0406311714307407	0.125087175631975	-0.0111363463232837	0.135346333721906	-0.0415973389099029	-0.0549825197191699	0.133705029318369	-0.0514071582674715	0.0576720092064091	-0.00514536658452307	0.136150546715475	0.175761402557644	0.13275325540722	0.130694979246459	0.106364418135269
"Sample_1S10"	2.29102406349026	-0.0476735032602855	-0.0532867123240868	-0.0544559465428189	1.42058954543465	-0.0147419980170286	0.0495647684562482	-0.0332486333064756	0.115587047479342	-0.0647922750981778	-0.0645708292069872	0.0503920391167005	-0.0554063014296634	0.0142865064128373	0.00718128705358132	0.0516469200452342	0.135953591003005	0.0552028576350599	0.0575970835637845	0.0458009154892779
"Sample_1S11"	19.634309037267	-0.0474751175898734	-0.0604927277755527	-0.0621075676945866	1.11443634642118	-0.0291223452828806	0.0732700230624294	-0.0301613672345758	0.123147138717844	-0.0610142999020958	-0.0672700019167937	0.089025522830346	-0.0574529863621757	0.0203699746035201	0.0192569954245706	0.0745674602447253	0.135092947382939	0.0752939259884154	0.0765400599820836	0.0734939210327362
"Sample_1S12"	2.92517203331605	-0.0494349520887848	-0.0214793228185181	-0.0166758346695971	0.623077551252446	-0.0552094983374091	0.094551182124443	-0.0389145674331045	0.088317444314318	-0.0710706673771127	-0.0701368354105693	0.0988658905057379	-0.0624800789068464	0.0706603336079522	-0.00246495535594479	0.108782633238785	0.119926969067093	0.102900315550633	0.10486755471147	0.128115235433322
"Sample_1S13"	1.09854482882123	-0.0454349868470598	-0.0513131951022935	-0.0463941065282855	1.39047058955234	-0.0358073536162287	0.0862687692177162	-0.027786129564988	0.14365322010875	-0.0680952838839601	-0.0634028506918442	0.0818574612001788	-0.0564859057642586	0.0296592560070503	0.0315805655519199	0.0831484103351069	0.157652348978702	0.0747792309413709	0.0682115464824353	0.0602603352384216
"Sample_1S14"	13.8029693703343	-0.0397849310485171	-0.00503280552431179	0.0111728320048416	0.924848073535136	-0.0483239497723758	0.166386516092696	0.0970786727055317	0.165117599587142	-0.0617432090808745	-0.072530840801758	0.174938462269548	-0.0597686424688026	0.100094362615431	0.00882459570218983	0.156289195544828	0.171369805939778	0.161929862807044	0.162544225111944	0.13490591400822
"Sample_1S15"	13.1358572818818	-0.0336659869314467	-0.0388136356016826	-0.0368190350470796	1.07200568297636	-0.0168792978529605	0.104027220585724	-0.0196622451292389	0.115053142992697	-0.0595689829138437	-0.0612454142572998	0.0956446875210886	-0.0543550122139985	0.0485851609657741	-0.0129875648015333	0.0956452590382248	0.139433191488955	0.10096188142909	0.089763177525319	0.0920971625443498
"Sample_1S16"	10.4770296145744	-0.0466022652385125	-0.0627245222939068	-0.0592558795918424	0.934600426789987	-0.0426613593984942	0.0784253711434471	-0.0213776865132002	0.20377640052635	-0.0189178952668411	-0.069064267058769	0.0788274773539977	-0.0113495082395623	0.0388403314328238	0.0132524087685161	0.082765668626929	0.203426150805763	0.0805248046494418	0.0803793258822074	0.0658221185371254
"Sample_1S17"	10.4995610376358	-0.0382259178077755	-0.0206441234956084	0.00370271609614097	0.826340556921868	-0.0347739646512902	0.128184119351923	-0.0262064043403468	0.126228409230437	-0.0481754922660121	-0.0659441676263826	0.125247993060027	-0.0546083078250547	0.0734129086300465	-0.0125080918009063	0.131553147886663	0.17759392848738	0.12678885332296	0.138792471455133	0.126698693199108
"Sample_1S18"	12.440903951553	-0.0454918746232035	-0.00469406114688942	0.0133197584524236	0.725832645145427	-0.043071606592674	0.111241020566879	-0.0102228631786589	0.117926107349684	-0.062214085764917	-0.0646394112385661	0.112253635622891	-0.0550273217303126	0.0614283919983699	-0.0122239323997075	0.124007513909717	0.173265828698384	0.115720144561179	0.121944818343942	0.130928737521102
"Sample_1S19"	9.79864967974333	-0.0528693575265618	-0.0465738462816785	-0.0491509539186819	1.15131704983764	-0.0244677966662847	0.099787335911989	-0.0233773238470792	0.127117191073295	-0.0605900256511383	-0.0658718151588346	0.107168378729536	-0.0553406458388534	0.0571591257981694	0.00924210882253276	0.111905960578353	0.175133699073145	0.103957518534983	0.100586718723484	0.0885295341324862
