"ENST00000623130.1"	"ENST00000536684.2"	"ENST00000385273.1"	"piR-hsa-23317"	"ENST00000384886.3"	"ENST00000365699.4"	"ENST00000516053.2"	"ENST00000383858.1"	"ENST00000384278.1"	"ENST00000373741.8"	"ENST00000362154.1"	"ENST00000626826.1"	"ENST00000384981.3"	"ENST00000629295.1"	"ENST00000362330.2"	"ENST00000364908.1"	"ENST00000384619.1"	"ENST00000384610.1"	"ENST00000383861.1"	"ENST00000383869.1"	"ENST00000600213.3"	"30951"	"ENST00000362162.1"	"piR-hsa-20572_3700"	"30972"	"ENST00000385201.1"	"ENST00000385012.1"	"ENST00000384010.1"	"ENST00000362602.1"	"ENST00000385024.1"	"ENST00000540040.2"	"ENST00000385255.3"	"ENST00000364421.1"	"ENST00000383925.1"	"ENST00000362150.3"	"ENST00000610976.1"	"ENST00000384898.1"	"ENST00000386972.1"	"ENST00000385301.1"	"ENST00000613023.1"
"Sample_1S1"	-0.0378049863373474	-0.029863399424631	0.825734902192654	2.38097449738479	-0.0250520194480481	-0.0111363463232837	-0.0406311714307407	0.0576720092064091	0.13275325540722	-0.0420352557619377	0.135346333721906	-0.042649854609193	-0.0415973389099029	-0.0657679937523645	0.0256326882574459	24.7077427465646	0.0843386030665819	0.0364847753665892	0.133705029318369	0.136150546715475	-0.0549825197191699	-0.0721933082757518	0.175761402557644	0.119967729560523	-0.0667207639484995	0.791909231868803	-0.0514071582674715	0.125087175631975	-0.0664293051695495	0.00857118958338139	-0.0372310540130043	-0.0616096802776302	0.101772206931957	0.132474237652774	2.06684491004662	0.125864850770637	-0.00514536658452307	1.77471436998107	-0.0189268202977364	0.106364418135269
"Sample_1S10"	-0.0544559465428189	-0.0476735032602855	1.42058954543465	2.29102406349026	-0.0612017191077819	-0.0332486333064756	-0.0147419980170286	0.0142865064128373	0.0552028576350599	-0.0650735728099145	0.115587047479342	-0.0532867123240868	-0.0647922750981778	-0.0686792550724877	-0.0358399760583554	9.14528425036448	0.0280632050821457	-0.00848536659705621	0.0503920391167005	0.0516469200452342	-0.0645708292069872	-0.0712597259231997	0.135953591003005	0.0542746648394479	-0.0666237255628024	0.492080181118967	-0.0554063014296634	0.0495647684562482	-0.0656937181343986	0.00856353913343895	-0.0491352967522276	-0.0650595063371383	0.0725603956753024	0.0582221627374195	3.66575031714319	0.0506107137684382	0.00718128705358132	2.0159071735166	-0.0295838401534417	0.0458009154892779
"Sample_1S11"	-0.0621075676945866	-0.0474751175898734	1.11443634642118	19.634309037267	-0.0344756320865366	-0.0301613672345758	-0.0291223452828806	0.0203699746035201	0.0752939259884154	-0.0651033354810758	0.123147138717844	-0.0604927277755527	-0.0610142999020958	-0.0736312376461484	-0.0237076231851153	10.965919295652	0.0358504263260124	0.0102361466063968	0.089025522830346	0.0745674602447253	-0.0672700019167937	-0.072540510655746	0.135092947382939	0.0704717429450757	-0.0711248348687735	0.578744485435655	-0.0574529863621757	0.0732700230624294	-0.0676448218591952	-0.00401749450362524	-0.0477611634369314	-0.0676566920171782	0.0629560524269551	0.0816290863568132	2.64865075817958	0.0713407315110494	0.0192569954245706	2.13253693058476	-0.0296238261761403	0.0734939210327362
"Sample_1S12"	-0.0166758346695971	-0.0494349520887848	0.623077551252446	2.92517203331605	-0.0421165526479235	-0.0389145674331045	-0.0552094983374091	0.0706603336079522	0.102900315550633	-0.05492651054593	0.088317444314318	-0.0214793228185181	-0.0710706673771127	-0.0616458594118603	-0.0116962849301843	13.9501843485489	0.0585595487305781	0.0548834876876186	0.0988658905057379	0.108782633238785	-0.0701368354105693	-0.0724448464504086	0.119926969067093	0.153409899713756	-0.0680222242551545	0.733820295958163	-0.0624800789068464	0.094551182124443	-0.0641258475239372	-0.0202746344370231	-0.0473698496006718	-0.0600907452870163	0.0506591248346221	0.100811729700251	2.30009071981306	0.100531488112438	-0.00246495535594479	2.01659892657973	-0.00515221648314767	0.128115235433322
"Sample_1S13"	-0.0463941065282855	-0.0454349868470598	1.39047058955234	1.09854482882123	-0.0434503980760414	-0.027786129564988	-0.0358073536162287	0.0296592560070503	0.0747792309413709	-0.0655549950545786	0.14365322010875	-0.0513131951022935	-0.0680952838839601	-0.0701992250127543	-0.0426515459536828	9.55462570933014	0.0419270821839689	0.00507616647598443	0.0818574612001788	0.0831484103351069	-0.0634028506918442	-0.0768920197616973	0.157652348978702	0.063861576163526	-0.0699072245744742	0.726607502006455	-0.0564859057642586	0.0862687692177162	-0.0687926787695961	0.0348977624264012	-0.040756937820502	-0.0669702962674147	0.0611653240694244	0.0696525625341759	3.94251411505366	0.0748108096841693	0.0315805655519199	2.44723694158409	-0.0155017067795519	0.0602603352384216
"Sample_1S14"	0.0111728320048416	-0.0397849310485171	0.924848073535136	13.8029693703343	0.00781575889479361	0.0970786727055317	-0.0483239497723758	0.100094362615431	0.161929862807044	-0.0675753832509634	0.165117599587142	-0.00503280552431179	-0.0617432090808745	-0.0598213917661403	-0.0237966848009865	15.1773184026805	0.101559584012619	0.0794068965320163	0.174938462269548	0.156289195544828	-0.072530840801758	-0.0824298292943175	0.171369805939778	0.336237605275648	-0.0745697947884041	1.03203010730895	-0.0597686424688026	0.166386516092696	-0.0632899867145604	0.0319296602842643	-0.0506541408192097	-0.0492888746693924	0.122064962104502	0.167476217544404	2.75477048973897	0.151353386865817	0.00882459570218983	2.26981055660096	0.00227379021725587	0.13490591400822
"Sample_1S15"	-0.0368190350470796	-0.0336659869314467	1.07200568297636	13.1358572818818	-0.0495293700034308	-0.0196622451292389	-0.0168792978529605	0.0485851609657741	0.10096188142909	-0.0593648075797558	0.115053142992697	-0.0388136356016826	-0.0595689829138437	-0.0646207245009864	-0.012450109523198	16.1710061854768	0.0468318349703854	0.0250908435765714	0.0956446875210886	0.0956452590382248	-0.0612454142572998	-0.0728558862258695	0.139433191488955	0.109683046234488	-0.0681852436271619	0.527416664522236	-0.0543550122139985	0.104027220585724	-0.0658405081549612	0.00429310229420225	-0.0481167741701405	-0.0632805037054661	0.106760542346669	0.0870323030477024	2.75368904745674	0.0914183499854042	-0.0129875648015333	1.78137628977256	-0.0298786868747977	0.0920971625443498
"Sample_1S16"	-0.0592558795918424	-0.0466022652385125	0.934600426789987	10.4770296145744	0.153849772927338	-0.0213776865132002	-0.0426613593984942	0.0388403314328238	0.0805248046494418	-0.0683430927283541	0.20377640052635	-0.0627245222939068	-0.0189178952668411	-0.072271760148644	-0.0195306558363702	14.3841007121808	0.0339310355298271	0.0151648691144241	0.0788274773539977	0.082765668626929	-0.069064267058769	-0.0770128904691226	0.203426150805763	0.0678182911237304	-0.0711135849946698	0.680443143597897	-0.0113495082395623	0.0784253711434471	-0.0619164272000354	0.139215865547265	-0.0532736267455083	-0.0427765225882428	0.0592949895707058	0.0830787668932514	2.74503926708653	0.0800605345121	0.0132524087685161	2.01941195688229	0.0914767330748124	0.0658221185371254
"Sample_1S17"	0.00370271609614097	-0.0382259178077755	0.826340556921868	10.4995610376358	-0.0248010961481619	-0.0262064043403468	-0.0347739646512902	0.0734129086300465	0.12678885332296	-0.0573248722322193	0.126228409230437	-0.0206441234956084	-0.0481754922660121	-0.0579480336767653	-0.00996080961173033	14.7605963767168	0.0778135111568053	0.0583157857334291	0.125247993060027	0.131553147886663	-0.0659441676263826	-0.0718386350987832	0.17759392848738	0.229476102827763	-0.0667889621453984	0.755216878265851	-0.0546083078250547	0.128184119351923	-0.0604523162582232	0.03148304063343	-0.0437827482766971	-0.0708158245644061	0.0979788614554408	0.12647751230792	3.55250205695564	0.123153372649927	-0.0125080918009063	1.46365851512579	-0.0014069087037158	0.126698693199108
"Sample_1S18"	0.0133197584524236	-0.0454918746232035	0.725832645145427	12.440903951553	-0.0195752252348449	-0.0102228631786589	-0.043071606592674	0.0614283919983699	0.115720144561179	-0.0510832380452193	0.117926107349684	-0.00469406114688942	-0.062214085764917	-0.0542405304959257	-0.0208915667750586	14.7650889698103	0.0681656179186885	0.0485522959605701	0.112253635622891	0.124007513909717	-0.0646394112385661	-0.0715377994783015	0.173265828698384	0.192205406486144	-0.0675126677673352	0.590555393337703	-0.0550273217303126	0.111241020566879	-0.0572798020106781	-0.00698963118270822	-0.0446716424244039	-0.0626317291481899	0.0549074924310061	0.113258121435359	2.20298174722707	0.111574346334302	-0.0122239323997075	1.60952181536186	-0.0158779605462781	0.130928737521102
