"ENST00000623130.1"	"ENST00000383869.1"	"piR-hsa-23317"	"ENST00000516053.2"	"ENST00000626826.1"	"ENST00000362154.1"	"ENST00000536684.2"	"ENST00000384886.3"	"ENST00000384278.1"	"ENST00000385273.1"
"Sample_1S1"	-0.0378049863373474	0.136150546715475	2.38097449738479	-0.0406311714307407	-0.042649854609193	0.135346333721906	-0.029863399424631	-0.0250520194480481	0.13275325540722	0.825734902192654
"Sample_1S10"	-0.0544559465428189	0.0516469200452342	2.29102406349026	-0.0147419980170286	-0.0532867123240868	0.115587047479342	-0.0476735032602855	-0.0612017191077819	0.0552028576350599	1.42058954543465
"Sample_1S11"	-0.0621075676945866	0.0745674602447253	19.634309037267	-0.0291223452828806	-0.0604927277755527	0.123147138717844	-0.0474751175898734	-0.0344756320865366	0.0752939259884154	1.11443634642118
"Sample_1S12"	-0.0166758346695971	0.108782633238785	2.92517203331605	-0.0552094983374091	-0.0214793228185181	0.088317444314318	-0.0494349520887848	-0.0421165526479235	0.102900315550633	0.623077551252446
"Sample_1S13"	-0.0463941065282855	0.0831484103351069	1.09854482882123	-0.0358073536162287	-0.0513131951022935	0.14365322010875	-0.0454349868470598	-0.0434503980760414	0.0747792309413709	1.39047058955234
"Sample_1S14"	0.0111728320048416	0.156289195544828	13.8029693703343	-0.0483239497723758	-0.00503280552431179	0.165117599587142	-0.0397849310485171	0.00781575889479361	0.161929862807044	0.924848073535136
"Sample_1S15"	-0.0368190350470796	0.0956452590382248	13.1358572818818	-0.0168792978529605	-0.0388136356016826	0.115053142992697	-0.0336659869314467	-0.0495293700034308	0.10096188142909	1.07200568297636
"Sample_1S16"	-0.0592558795918424	0.082765668626929	10.4770296145744	-0.0426613593984942	-0.0627245222939068	0.20377640052635	-0.0466022652385125	0.153849772927338	0.0805248046494418	0.934600426789987
"Sample_1S17"	0.00370271609614097	0.131553147886663	10.4995610376358	-0.0347739646512902	-0.0206441234956084	0.126228409230437	-0.0382259178077755	-0.0248010961481619	0.12678885332296	0.826340556921868
"Sample_1S18"	0.0133197584524236	0.124007513909717	12.440903951553	-0.043071606592674	-0.00469406114688942	0.117926107349684	-0.0454918746232035	-0.0195752252348449	0.115720144561179	0.725832645145427
"Sample_1S19"	-0.0491509539186819	0.111905960578353	9.79864967974333	-0.0244677966662847	-0.0465738462816785	0.127117191073295	-0.0528693575265618	-0.0554246806137507	0.103957518534983	1.15131704983764
"Sample_1S2"	-0.0114284397473563	0.107754912724896	2.98130783731649	-0.0359498646983495	-0.027193043432077	0.166745092228545	-0.0154710415551281	-0.0319000274478388	0.100775832268756	1.07578572563642
"Sample_1S20"	-0.0250137556113215	0.0469569038228829	6.32283141299004	-0.0153947953433364	-0.0385371895800034	0.284366177069353	-0.0542728948148456	-0.0437565527640281	0.0430892939793057	1.66634568287487
"Sample_1S21"	-0.0576614103913878	0.114757671547157	1.67742749200932	-0.0391459581930303	-0.0585792743743047	0.142388696183053	-0.0203723194173228	-0.026272876945064	0.119565663404641	1.09864218720077
"Sample_1S22"	0.0241729153520727	0.0814737445119092	2.79167865437617	-0.0229891996331147	0.00398837096941034	0.133596702601324	-0.0473374997752115	-0.0302997520204687	0.0830435318622115	1.16865990135554
"Sample_1S23"	0.158662251420583	0.0731601318338291	13.6387249519861	-0.0440638976670965	0.0913643490908735	0.136504810762659	-0.0515053286363186	0.0213481601436794	0.095700838491691	0.670421912640683
"Sample_1S24"	-0.055418760227426	0.0526034039564043	14.7646109404021	-0.0415325128668716	-0.0604837671088577	0.131595368256465	-0.0308847151019254	-0.0375527746461858	0.0558470414867566	0.729611834861002
"Sample_1S25"	-0.0482070736778601	0.0851635101817869	12.6942750974884	-0.0354669505549937	-0.0511897581613249	0.149260284753171	-0.0243633635315764	-0.0317724686972291	0.0914557967204295	1.25510470035558
"Sample_1S3"	-0.0440430473887343	0.11088616311585	2.22478898456444	-0.037841191908338	-0.0499245015447591	0.126198943389361	-0.0502807904653863	-0.0580121801879427	0.116104412711972	0.876898949768226
"Sample_1S4"	-0.00895823818274074	0.124823263684952	2.532991982657	-0.0372894298831184	-0.0152671209059345	0.165366196193619	-0.0489567747452927	-0.0258573080057301	0.112028860828621	0.970375624668777
"Sample_1S5"	-0.0645862008111886	0.103418328012796	2.37998295881592	-0.0435583734447303	-0.0606541600642177	0.125135945752925	-0.0444302952370076	-0.0353190387265857	0.0962861425399128	0.796777989013512
"Sample_1S6"	-0.0531654423221412	0.114928492409157	2.44752924347412	-0.0342722749137794	-0.051868702808533	0.123010990674081	-0.0393586920360467	-0.0492845226920412	0.120838184737726	1.11815166560694
"Sample_1S7"	-0.0626896961939395	0.0947944495303439	2.14517956977471	-0.0343277289513821	-0.0631103688792547	0.13410656562839	-0.049185004552393	-0.04853852997501	0.0696249630360783	1.03571565257773
"Sample_1S8"	-0.0303393572726461	0.133979991121685	3.22398706755015	-0.0369562226593423	-0.0319989111738935	0.131098407601845	-0.0365604789579814	-0.0448530389845142	0.134709305065008	0.792617986190499
"Sample_1S9"	-0.0584587983315598	0.0940958646822626	2.46751046433814	-0.0388808149885955	-0.0560911729934837	0.126032377920068	-0.0470839599318845	-0.0446853731331423	0.102362555703833	0.805681476946926
"Sample_2S1"	-0.0374301133006222	0.102629950186787	2.07552410666776	-0.0443696537175843	-0.0410422394612563	0.136414190535781	-0.0265417350563401	-0.0174208389972886	0.102995095069705	1.0172891582617
"Sample_2S10"	-0.0489655141510282	0.0837389463377663	3.00757282964097	-0.0501100699819846	-0.0553356478529647	0.133455665503935	-0.0437950685995425	-0.012522790790581	0.063942780849566	0.762664853543246
"Sample_2S11"	-0.0411923525981654	0.0694002512964662	17.4249826470072	-0.0333191832090992	-0.0470576332746191	0.127048580848674	-0.0425294725831455	-0.0334947606597813	0.0603736519385722	1.01301603468617
"Sample_2S12"	-0.0394620736511033	0.0851146613704998	16.5261447125699	-0.0407533976356474	-0.0405472138397292	0.10694071665429	-0.0406228701875682	-0.0535102377577946	0.0890190938478674	0.687533720311704
"Sample_2S13"	-0.0434601968836302	0.12574787825238	1.41020288695466	-0.0345498245358593	-0.049957631931557	0.154069739381057	-0.0370113871129532	-0.0373271464774037	0.112345676908669	1.11465414478632
